Node,Cluster
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,8
71,8
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,8
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,7
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,9
111,9
112,9
113,9
114,9
115,9
116,9
117,9
118,9
119,9
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
